PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
152.03,118.45443537491555,10.97,56.43,23.84836627716501,390.0,Severe
176.02,118.45443537491555,7.51,35.0,23.84836627716501,361.0,Severe
61.72,118.45443537491555,2.3452669534931365,9.73,23.84836627716501,105.0,Poor
126.57,118.45443537491555,2.3452669534931365,27.85,23.84836627716501,319.0,Severe
59.26,118.45443537491555,2.3452669534931365,26.22,23.84836627716501,146.0,Poor
51.72,118.45443537491555,2.3452669534931365,24.71,23.84836627716501,80.0,Moderate
67.4,118.45443537491555,2.3452669534931365,19.89,23.84836627716501,102.0,Poor
79.49,118.45443537491555,175.81,18.21,23.84836627716501,459.0,Severe
119.02,118.45443537491555,17.91,77.28,23.84836627716501,498.0,Severe
85.32,118.45443537491555,5.06,28.71,23.84836627716501,195.0,Poor
143.07,118.45443537491555,5.85,42.6,23.84836627716501,291.0,Very Poor
140.88,118.45443537491555,6.11,26.06,23.84836627716501,313.0,Severe
99.77,118.45443537491555,10.23,37.6,23.84836627716501,333.0,Severe
119.99,118.45443537491555,6.84,48.09,23.84836627716501,338.0,Severe
111.92,118.45443537491555,15.17,62.34,23.84836627716501,371.0,Severe
96.51,118.45443537491555,15.07,74.34,23.84836627716501,463.0,Severe
80.52,118.45443537491555,24.0,55.49,23.84836627716501,419.0,Severe
80.89,118.45443537491555,6.14,78.13,23.84836627716501,330.0,Severe
58.62,118.45443537491555,5.49,86.71,23.84836627716501,205.0,Very Poor
68.53,118.45443537491555,5.78,88.35,23.84836627716501,164.0,Poor
81.38,118.45443537491555,5.9,39.29,23.84836627716501,187.0,Poor
56.54,118.45443537491555,5.46,66.39,23.84836627716501,149.0,Poor
74.08,118.45443537491555,7.19,40.27,23.84836627716501,215.0,Very Poor
62.76,118.45443537491555,5.58,83.18,23.84836627716501,284.0,Very Poor
86.09,118.45443537491555,5.9,59.39,23.84836627716501,167.0,Poor
59.74,118.45443537491555,26.28,42.01,23.84836627716501,337.0,Severe
52.15,118.45443537491555,15.98,58.81,23.84836627716501,295.0,Very Poor
70.08,118.45443537491555,11.42,61.73,23.84836627716501,400.0,Severe
86.9,118.45443537491555,7.54,72.02,23.84836627716501,250.0,Very Poor
77.34,118.45443537491555,6.33,75.64,23.84836627716501,232.0,Very Poor
65.93,118.45443537491555,5.7,105.69,23.84836627716501,174.0,Poor
66.58,118.45443537491555,7.16,66.87,23.84836627716501,198.0,Poor
62.24,118.45443537491555,17.88,48.64,23.84836627716501,340.0,Severe
62.07,118.45443537491555,8.72,56.86,23.84836627716501,355.0,Severe
72.04,118.45443537491555,7.78,73.53,23.84836627716501,246.0,Very Poor
67.44,118.45443537491555,5.95,93.19,23.84836627716501,216.0,Very Poor
77.76,118.45443537491555,25.81,79.46,23.84836627716501,306.0,Severe
71.54,118.45443537491555,26.95,65.58,23.84836627716501,404.0,Severe
82.03,118.45443537491555,14.9,65.25,23.84836627716501,474.0,Severe
84.43,118.45443537491555,6.85,90.79,23.84836627716501,343.0,Severe
84.46,118.45443537491555,7.58,69.02,23.84836627716501,278.0,Very Poor
76.51,118.45443537491555,9.26,93.51,23.84836627716501,256.0,Very Poor
63.88,118.45443537491555,13.87,105.33,23.84836627716501,300.0,Very Poor
66.89,118.45443537491555,5.86,68.56,23.84836627716501,216.0,Very Poor
